2024-04-25 17:05:09,781 INFO PERFORMANCE:|0|0|-1|-1

2024-04-25 17:25:38,458 INFO PERFORMANCE:|serviceCount|ipCount|subscribeCount|maxPushCost|avgPushCost|totalPushCount|failPushCount

2024-04-25 17:25:38,459 INFO DISTRO:|V1SyncDone|V1SyncFail|V2SyncDone|V2SyncFail|V2VerifyFail|

2024-04-25 17:25:38,459 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-04-25 17:25:38,461 INFO Task worker status: 
naming_0%1, pending tasks: 0


2024-04-25 17:25:38,463 INFO DISTRO:|0|0|0|0|0|

2024-04-25 17:26:38,464 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-04-25 17:26:38,464 INFO Task worker status: 
naming_0%1, pending tasks: 0


2024-04-25 17:26:38,464 INFO DISTRO:|0|0|0|0|0|

2024-04-25 17:27:38,464 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-04-25 17:27:38,464 INFO Task worker status: 
naming_0%1, pending tasks: 0


2024-04-25 17:27:38,464 INFO DISTRO:|0|0|0|0|0|

2024-04-25 17:28:38,466 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-04-25 17:28:38,466 INFO Task worker status: 
naming_0%1, pending tasks: 0


2024-04-25 17:28:38,467 INFO DISTRO:|0|0|0|0|0|

2024-04-25 17:29:38,469 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-04-25 17:29:38,469 INFO Task worker status: 
naming_0%1, pending tasks: 0


2024-04-25 17:29:38,469 INFO DISTRO:|0|0|0|0|0|

2024-04-25 17:30:38,469 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-04-25 17:30:38,470 INFO Task worker status: 
naming_0%1, pending tasks: 0


2024-04-25 17:30:38,470 INFO DISTRO:|0|0|0|0|0|

2024-04-25 17:31:38,471 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-04-25 17:31:38,471 INFO Task worker status: 
naming_0%1, pending tasks: 0


2024-04-25 17:31:38,471 INFO DISTRO:|0|0|0|0|0|

2024-04-25 17:32:38,474 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-04-25 17:32:38,474 INFO Task worker status: 
naming_0%1, pending tasks: 0


2024-04-25 17:32:38,474 INFO DISTRO:|0|0|0|0|0|

2024-04-25 17:33:38,475 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-04-25 17:33:38,476 INFO Task worker status: 
naming_0%1, pending tasks: 0


2024-04-25 17:33:38,476 INFO DISTRO:|0|0|0|0|0|

2024-04-25 17:34:38,476 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-04-25 17:34:38,477 INFO Task worker status: 
naming_0%1, pending tasks: 0


2024-04-25 17:34:38,477 INFO DISTRO:|0|0|0|0|0|

2024-04-25 17:35:38,477 INFO PERFORMANCE:|serviceCount|ipCount|subscribeCount|maxPushCost|avgPushCost|totalPushCount|failPushCount

